UncompMagX;UncompMagY;UncompMagZ;UncompAccX;UncompAccY;UncompAccZ;UncompGyroX;UncompGyroY;UncompGyroZ;Temperature;Pressure
-00,085;+00,176;+00,027;-02,8930;-00,6290;-05,5580;+00,374025;+02,060128;-00,351556;+031,90;+101,17
-00,088;+00,177;+00,025;-03,0220;-00,4170;-05,7310;+00,612788;+02,282619;-00,438847;+031,90;+101,17
-00,092;+00,179;+00,020;-02,9960;-00,2500;-06,0060;+00,785042;+02,533602;-00,512048;+031,90;+101,18
-00,095;+00,180;+00,015;-02,8520;+00,2750;-05,6820;+00,886660;+02,778898;-00,564108;+031,90;+101,17
-00,101;+00,179;+00,011;-02,5260;+01,1790;-05,2740;+00,960697;+02,998981;-00,548807;+031,90;+101,19
-00,104;+00,181;+00,005;-02,6410;+02,1270;-05,4050;+00,996837;+03,205727;-00,464199;+031,90;+101,17
-00,108;+00,181;-00,001;-02,5560;+02,3470;-05,2870;+01,024128;+03,405426;-00,334864;+031,90;+101,16
-00,111;+00,183;-00,004;-02,7150;+01,9270;-04,6800;+01,041897;+03,560684;-00,229967;+031,90;+101,17
-00,115;+00,181;-00,014;-02,6240;+01,5370;-04,0290;+01,100994;+03,655582;-00,197940;+031,90;+101,16
-00,118;+00,183;-00,021;-02,9560;+00,8240;-04,1260;+01,189844;+03,714377;-00,227056;+031,90;+101,17
-00,122;+00,184;-00,026;-03,3680;+00,1850;-04,2780;+01,255077;+03,795434;-00,311103;+031,90;+101,16
-00,125;+00,186;-00,036;-03,8120;+00,0040;-04,2830;+01,324939;+03,871000;-00,415701;+031,90;+101,17
-00,129;+00,182;-00,040;-03,9270;-00,0360;-04,1320;+01,389233;+03,935107;-00,535493;+031,90;+101,17
-00,131;+00,184;-00,049;-04,2800;+00,0140;-04,3820;+01,456122;+03,980056;-00,647615;+031,90;+101,17
-00,133;+00,185;-00,060;-04,5110;+00,0740;-04,4360;+01,525314;+04,017209;-00,769855;+031,90;+101,17
-00,137;+00,183;-00,072;-04,6490;+00,2640;-04,2000;+01,589760;+04,017023;-00,899091;+031,90;+101,17
-00,139;+00,180;-00,080;-04,7220;+00,8690;-04,2090;+01,628925;+03,965057;-01,009486;+031,90;+101,17
-00,142;+00,181;-00,087;-04,9430;+02,2980;-04,4320;+01,681296;+03,933773;-01,064291;+031,90;+101,17
-00,143;+00,179;-00,097;-05,0170;+03,6500;-04,7130;+01,688917;+03,919327;-01,007922;+031,90;+101,17
